,,,Museum,Order,Class,Family,Genus,Sp,Ssp,,Sex,Continent/Ocean,Country,State/Province,,,Locality,,,,Preservative,,,Life Stage,,,,,,,Year,Elevation,,,,,,,,,,,Day,Month,COLLECTOR,,
225133,12521,JBS,CAS,Amphibia,Anura,Ranidae,Rana,limnocharis,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 25 09.2 N, 97 54 32.4 E","H. Tun, K.S. Lwin, A.K. Shein and H. Ram",23-Apr-02,Alc,H. Win,14-Aug-02,,,1760 ft,,2100 hrs.  Air temp. 74 F.  90% relative humidity.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 25 09.2 N, 97 54 32.4 E, 1760 ft",,2002,1760,,ft,27,25,9.2,N,97,54,32.4,E,23,Apr,H. Tun,Garmin 12 GPS,WGS84
225138,12522,JBS,CAS,Amphibia,Anura,Rhacophoridae,Polypedates,leucomystax,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 25 05.6 N, 97 54 38.0 E","H. Tun, K.S. Lwin, A.K. Shein and H. Ram",23-Apr-02,Alc,H. Win,14-Aug-02,,,1730 ft,,2043 hrs.  Air temp. 76 F.  71% relative humidity.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 25 05.6 N, 97 54 38.0 E, 1730 ft",,2002,1730,,ft,27,25,5.6,N,97,54,38,E,23,Apr,H. Tun,Garmin 12 GPS,WGS84
225134,7961,KMH,CAS,Amphibia,Anura,Microhylidae,Callulina,,,,,Africa,Tanzania,Kilimanjaro Region,,,Pare Dist.,North Pare Mts: Kindoroko Forest Reserve,N.J. Cordeiro,12-Jul-93,Alc,S. Loader,22-Feb-06,,,1800 m,,Under damp rocks of valley side of small stream in deep forest.,"Tanzania: Kilimanjaro Region: Pare Dist.: North Pare Mts., Kindoroko Forest Reserve, 1800 m",,1993,1800,,m,,,,,,,,,12,Jul,,,
225135,7936,KMH,CAS,Amphibia,Anura,Microhylidae,Callulina,,,,,Africa,Tanzania,Kilimanjaro Region,,,Pare Dist.,North Pare Mts: Kindoroko Forest Reserve,N.J. Cordeiro,12-Jul-93,Alc,S. Loader,22-Feb-06,,,1800 m,,Under damp rocks of valley side of small stream in deep forest.,"Tanzania: Kilimanjaro Region: Pare Dist.: North Pare Mts., Kindoroko Forest Reserve, 1800 m",,1993,1800,,m,,,,,,,,,12,Jul,,,
225139,12524,JBS,CAS,Amphibia,Anura,Ranidae,Amolops,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 34.5 N, 97 55 05.4 E","T. Thin, K.S. Lwin and S.N. Sin",24-Apr-02,Alc,H. Win,14-Aug-02,Adult,,1784 ft,,"0945 hrs.  In stream, ca 8 ft wide.","Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 34.5 N, 97 55 05.4 E, 1784 ft",,2002,1784,,ft,27,24,34.5,N,97,55,5.4,E,24,Apr,T. Thin,Garmin 12 GPS,WGS84
225136,7982,KMH,CAS,Amphibia,Anura,Microhylidae,Callulina,,,,,Africa,Tanzania,Kilimanjaro Region,,,Pare Dist.,Minja Forest Reserve,N.J. Cordeiro,28-Jul-93,Alc,S. Loader,22-Feb-06,,,1500 m,,Found dead and floating in a small dam alongside a rivulet.,"Tanzania: Kilimanjaro Region: Pare Dist.: North Pare Mts., Minja Forest Reserve, 1500 m",,1993,1500,,m,,,,,,,,,28,Jul,,,
225137,7944,KMH,CAS,Amphibia,Anura,Microhylidae,Callulina,,,,,Africa,Tanzania,Kilimanjaro Region,,,Pare Dist.,Minja Forest Reserve,N.J. Cordeiro,Jul-93,Alc,S. Loader,22-Feb-06,,,1700 m,,In a Dracaena plant in dense mist forest.,"Tanzania: Kilimanjaro Region: Pare Dist.: North Pare Mts., Minja Forest Reserve, 1700 m",,1993,1700,,m,,,,,,,,,,Jul,,,
225140,12531,JBS,CAS,Amphibia,Anura,Rhacophoridae,Philautus,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 37.6 N, 97 55 18.3 E","H. Win, A.K. Shein, M. Kyaw and S. Ti",24-Apr-02,Alc,H. Win,14-Aug-02,,,1869 ft,SVL 23.6 mm.,2008 hrs.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 37.6 N, 97 55 18.3 E, 1869 ft",,2002,1869,,ft,27,24,37.6,N,97,55,18.3,E,24,Apr,H. Win,Garmin 12 GPS,WGS84
225141,12532,JBS,CAS,Amphibia,Anura,Rhacophoridae,Philautus,,,,,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 37.6 N, 97 55 18.3 E","H. Win, A.K. Shein, M. Kyaw and S. Ti",24-Apr-02,Alc,H. Win,14-Aug-02,,,1869 ft,SVL 21.7 mm.,2008 hrs.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 37.6 N, 97 55 18.3 E, 1869 ft",,2002,1869,,ft,27,24,37.6,N,97,55,18.3,E,24,Apr,H. Win,Garmin 12 GPS,WGS84
225142,12533,JBS,CAS,Reptilia,Sauria,Scincidae,Sphenomorphus,maculatus,,,M,Asia,Myanmar,Kachin State,,,Putao Dist.,"Nagumung Township, Ta Se Htu village, 27 24 39.9 N, 97 56 42.0 E","H. Win, A.K. Shein, M. Kyaw and S. Ti",24-Apr-02,Alc,A. Moren,7-Apr-05,Adult,,1841 ft,,1437 hrs.  Under leaf litter.,"Myanmar: Kachin State: Putao District, Nagmung Township, Ta Se Htu village, 27 24 39.9 N, 97 56 42.0 E, 1841 ft",,2002,1841,,ft,27,24,39.9,N,97,56,42,E,24,Apr,H. Win,Garmin 12 GPS,WGS84
